School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
ST. JOSEPH SCHOOL	2015-16	72	98.6%	0%	0%	1.4%	0%	1.4%	0%	0%	100%	100%	100%	100%	98.6%	98.6%	71	0	0	1	0	1	0	0	0	0	0	0	1	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	700 18TH AVE E	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
ST. JOSEPH'S SCHOOL	2015-16	17	94.1%	0%	0%	5.9%	0%	5.9%	0%	0%	94.1%	94.1%	94.1%	94.1%	94.1%	94.1%	16	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	KENNEWICK SCHOOL DISTRICT	901 W 4TH AVE	KENNEWICK	BENTON	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
ST. LOUISE SCHOOL	2015-16	51	98%	0%	0%	2%	0%	2%	0%	0%	98%	98%	98%	98%	98%	98%	50	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	133 156TH AVE SE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. LUKE SCHOOL	2015-16	42	59.5%	35.7%	2.4%	2.4%	0%	2.4%	0%	0%	59.5%	59.5%	95.2%	92.9%	95.2%	95.2%	25	15	1	1	0	1	0	0	17	17	2	3	2	2	Y	PRIVATE SCHOOL	SHORELINE SCHOOL DISTRICT	17533 SAINT LUKE PL N	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. MADELEINE SOPHIE SCHOOL	2015-16	21	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	21	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	4400 130TH PL SE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. MARK SCHOOL	2015-16																														N	PRIVATE SCHOOL	SHORELINE SCHOOL DISTRICT	18033 15TH PL NE	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. MARY SCHOOL	2015-16	15	93.3%	0%	0%	6.7%	0%	6.7%	0%	0%	93.3%	93.3%	93.3%	93.3%	93.3%	93.3%	14	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	ABERDEEN SCHOOL DISTRICT	518 NORTH H ST	ABERDEEN	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	P-8	Y	Y
ST. MARY'S ACADEMY	2015-16	6	83.3%	0%	0%	16.7%	0%	16.7%	0%	0%	83.3%	83.3%	83.3%	83.3%	83.3%	83.3%	5	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	BETHEL SCHOOL DISTRICT	757 138TH ST S	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
ST. MARY'S CATHOLIC SCHOOL	2015-16	28	25%	0%	75%	0%	0%	0%	0%	0%	28.6%	28.6%	96.4%	100%	100%	96.4%	7	0	21	0	0	0	0	0	20	20	1	0	0	1	Y	PRIVATE SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	14601 E 4TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
ST. MATTHEW LUTHERAN SCHOOL	2015-16																														N	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	6917 N COUNTRY HOMES BLVD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
ST. MATTHEW SCHOOL	2015-16	20	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	20	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	1230 NE 127TH ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. MICHAEL CATHOLIC SCHOOL	2015-16	11	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SNOHOMISH SCHOOL DISTRICT	1514 PINE AVE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
ST. MICHAEL SCHOOL	2015-16	21	95.2%	0%	0%	4.8%	4.8%	0%	0%	0%	100%	95.2%	100%	100%	100%	100%	20	0	0	1	1	0	0	0	0	1	0	0	0	0	Y	PRIVATE SCHOOL	OLYMPIA SCHOOL DISTRICT	1204 11TH AVE SE	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K-8	Y	Y
ST. MICHAEL'S ACADEMY	2015-16	18	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	50%	50%	9	0	0	9	0	9	0	0	9	9	9	9	9	9	Y	PRIVATE SCHOOL	ORCHARD PRAIRIE SCHOOL DISTRICT	8500 N ST MICHAEL'S RD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-12	Y	Y
ST. MONICA SCHOOL	2015-16	17	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	17	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	MERCER ISLAND SCHOOL DISTRICT	4320 87TH AVE SE	MERCER ISLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. NICHOLAS SCHOOL	2015-16	19	94.7%	0%	0%	5.3%	0%	5.3%	0%	0%	94.7%	94.7%	94.7%	94.7%	94.7%	94.7%	18	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	PENINSULA SCHOOL DISTRICT	3555 EDWARDS DR	GIG HARBOR	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. PATRICK CATHOLIC SCHOOL	2015-16																														N	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	2706 E QUEEN AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
ST. PATRICK SCHOOL	2015-16	19	68.4%	31.6%	0%	0%	0%	0%	0%	0%	68.4%	68.4%	68.4%	68.4%	68.4%	68.4%	13	6	0	0	0	0	0	0	6	6	6	6	6	6	Y	PRIVATE SCHOOL	PASCO SCHOOL DISTRICT	1016 N 14TH AVE	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
ST. PATRICK SCHOOL	2015-16	42	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	42	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	1112 NORTH G ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. PAUL CATHEDRAL SCHOOL	2015-16	17	76.5%	23.5%	0%	0%	0%	0%	0%	0%	76.5%	100%	100%	100%	100%	100%	13	4	0	0	0	0	0	0	4	0	0	0	0	0	Y	PRIVATE SCHOOL	YAKIMA SCHOOL DISTRICT	1214 W CHESTNUT AVE	YAKIMA	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	P-8	Y	Y
ST. PAUL SCHOOL	2015-16	5	20%	80%	0%	0%	0%	0%	0%	0%	20%	20%	100%	100%	100%	100%	1	4	0	0	0	0	0	0	4	4	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	10001 57TH AVE S	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. PAUL'S ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	3000 NORTHWEST AVE	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
ST. PAUL'S ACADEMY--2ND LOCATION	2015-16	22	81.8%	0%	13.6%	4.5%	0%	4.5%	0%	0%	81.8%	100%	100%	100%	95.5%	100%	18	0	3	1	0	1	0	0	4	0	0	0	1	0	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	1509 E VICTOR STREET	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-12	N	Y
ST. PAUL'S LUTHERAN SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	WENATCHEE SCHOOL DISTRICT	312 PALOUSE ST	WENATCHEE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	P-6	Y	Y
ST. PHILOMENA SCHOOL	2015-16	29	89.7%	0%	6.9%	3.4%	0%	3.4%	0%	0%	89.7%	96.6%	96.6%	96.6%	96.6%	96.6%	26	0	2	1	0	1	0	0	3	1	1	1	1	1	Y	PRIVATE SCHOOL	HIGHLINE SCHOOL DISTRICT	1815 S 220TH ST	DES MOINES	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
ST. PIUS X SCHOOL	2015-16	15	53.3%	0%	46.7%	0%	0%	0%	0%	0%	53.3%	100%	100%	100%	100%	100%	8	0	7	0	0	0	0	0	7	0	0	0	0	0	Y	PRIVATE SCHOOL	EDMONDS SCHOOL DISTRICT	22105 58TH AVE W	MOUNTLAKE TERRACE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
ST. ROSE OF LIMA SCHOOL	2015-16	10	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	10	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	EPHRATA SCHOOL DISTRICT	520 NAT WASHINGTON WAY	EPHRATA	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	P-6	Y	Y
ST. ROSE SCHOOL	2015-16	15	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	LONGVIEW SCHOOL DISTRICT	720 26TH AVE	LONGVIEW	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	P-8	Y	Y
ST. THERESE SCHOOL	2015-16	10	90%	0%	0%	10%	0%	10%	0%	0%	90%	90%	90%	90%	100%	90%	9	0	0	1	0	1	0	0	1	1	1	1	0	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	900 35TH AVE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. THOMAS MORE SCHOOL	2015-16	26	42.3%	50%	0%	7.7%	0%	7.7%	0%	0%	50%	100%	100%	100%	100%	92.3%	11	13	0	2	0	2	0	0	13	0	0	0	0	2	Y	PRIVATE SCHOOL	MEAD SCHOOL DISTRICT	515 W ST THOMAS MORE WAY	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
ST. THOMAS MORE SCHOOL	2015-16	28	46.4%	50%	0%	3.6%	0%	3.6%	0%	0%	46.4%	96.4%	96.4%	96.4%	96.4%	96.4%	13	14	0	1	0	1	0	0	15	1	1	1	1	1	Y	PRIVATE SCHOOL	EDMONDS SCHOOL DISTRICT	6511 176TH ST SW	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
ST. THOMAS SCHOOL	2015-16	17	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	17	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	8300 NE 12TH ST	MEDINA	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
ST. VINCENT DE PAUL SCHOOL	2015-16	25	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	25	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	FEDERAL WAY SCHOOL DISTRICT	30527 8TH AVE S	FEDERAL WAY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
STAHLVILLE SCHOOL	2015-16																														N	PRIVATE SCHOOL	ODESSA SCHOOL DISTRICT	33 E SNOWDEN RD	ODESSA	LINCOLN	EDUCATIONAL SERVICE DISTRICT 101	K-12	Y	Y
STANWOOD MIDDLE SCHOOL	2015-16	166	68.1%	0%	19.3%	12.7%	3%	9%	0.6%	0%	76.5%	77.7%	95.8%	94.6%	92.8%	89.8%	113	0	32	21	5	15	1	0	39	37	7	9	12	17	Y	PUBLIC SCHOOL	STANWOOD-CAMANO SCHOOL DISTRICT	9405 271ST ST NW	STANWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
STARBUCK SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	STARBUCK SCHOOL DISTRICT	717 TUCANNON ST	STARBUCK	COLUMBIA	EDUCATIONAL SERVICE DISTRICT 123	K-8	Y	Y
STEHEKIN ELEMENTARY	2015-16																														N	PUBLIC SCHOOL	STEHEKIN SCHOOL DISTRICT	PO BOX 37	STEHEKIN	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	K -8	Y	Y
STELLA MARIS ACADEMY	2015-16																														N	PRIVATE SCHOOL	EDMONDS SCHOOL DISTRICT	520 NE RAVENNA BLVD	EDMONDS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
STELLA SCHOLA	2015-16	30	83.3%	0%	10%	6.7%	3.3%	3.3%	0%	0%	90%	90%	93.3%	96.7%	100%	93.3%	25	0	3	2	1	1	0	0	3	3	2	1	0	2	Y	PUBLIC SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	13505 NE 75TH STREET	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
STEPTOE ELEMENTARY SCHOOL	2015-16	5	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	STEPTOE SCHOOL DISTRICT	PO BOX 138	STEPTOE	WHITMAN	EDUCATIONAL SERVICE DISTRICT 101	PK-8	Y	Y
STERLING INTERMEDIATE SCHOOL	2015-16	233	87.6%	0%	10.3%	2.1%	1.7%	0.4%	0%	0%	89.7%	89.7%	98.7%	99.1%	99.1%	98.7%	204	0	24	5	4	1	0	0	24	24	3	2	2	3	Y	PUBLIC SCHOOL	EASTMONT SCHOOL DISTRICT	600 N. JAMES AVE.	EAST WENATCHEE	DOUGLAS	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	K-7	Y	Y
STEVENS ELEMENTARY	2015-16	64	84.4%	6.3%	3.1%	6.3%	0%	4.7%	1.6%	0%	85.9%	85.9%	95.3%	95.3%	95.3%	93.8%	54	4	2	4	0	3	1	0	9	9	3	3	3	4	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	1717 E SINTO AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
STEVENS ELEMENTARY SCHOOL	2015-16	62	59.7%	35.5%	0%	4.8%	1.6%	3.2%	0%	0%	61.3%	61.3%	93.5%	95.2%	95.2%	93.5%	37	22	0	3	1	2	0	0	24	24	4	3	3	4	Y	PUBLIC SCHOOL	ABERDEEN SCHOOL DISTRICT	301 S. FARRAGUT	ABERDEEN	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
STEVENS MIDDLE SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	1120 N 22ND AVENUE	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
STEWART ELEMENTARY	2015-16	51	94.1%	0%	0%	5.9%	0%	5.9%	0%	0%	98%	98%	98%	98%	96.1%	98%	48	0	0	3	0	3	0	0	1	1	1	1	2	1	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	426 4TH AVE NE	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
STEWART MIDDLE SCHOOL	2015-16	95	94.7%	1.1%	1.1%	3.2%	0%	1.1%	0%	2.1%	98.9%	95.8%	98.9%	98.9%	98.9%	97.9%	90	1	1	3	0	1	0	2	1	4	1	1	1	2	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	5010 PACIFIC AVE	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
STILLAGUAMISH SCHOOL	2015-16	3	0%	0%	33.3%	66.7%	0%	66.7%	0%	0%	0%	0%	33.3%	33.3%	33.3%	33.3%	0	0	1	2	0	2	0	0	3	3	2	2	2	2	Y	PUBLIC SCHOOL	ARLINGTON SCHOOL DISTRICT	1215 E 5TH	ARLINGTON	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -12	Y	Y
STILLPOINT SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SAN JUAN ISLAND SCHOOL DISTRICT	775 PARK ST	FRIDAY HARBOR	SAN JUAN	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-6	Y	Y
SULAMITA CHRISTIAN SCHOOL	2015-16	5	20%	0%	0%	80%	0%	0%	80%	0%	20%	20%	20%	20%	20%	20%	1	0	0	4	0	0	4	0	4	4	4	4	4	4	Y	PRIVATE SCHOOL	MUKILTEO SCHOOL DISTRICT	12420 EVERGREEN DR	MUKILTEO	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	PK-12	Y	Y
SULTAN MIDDLE SCHOOL	2015-16	144	25.7%	0%	67.4%	6.9%	0.7%	0.7%	5.6%	0%	29.2%	29.2%	91.7%	90.3%	91%	88.2%	37	0	97	10	1	1	8	0	102	102	12	14	13	17	Y	PUBLIC SCHOOL	SULTAN SCHOOL DISTRICT	301 HIGH AVE.	SULTAN	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
SUMMIT ACADEMY	2015-16																														N	PRIVATE SCHOOL	STANWOOD-CAMANO SCHOOL DISTRICT	7430 276TH ST NW	STANWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-6	Y	Y
SUMMIT SCHOOL	2015-16	33	93.9%	0%	0%	6.1%	0%	6.1%	0%	0%	93.9%	93.9%	97%	97%	93.9%	93.9%	31	0	0	2	0	2	0	0	2	2	1	1	2	2	Y	PUBLIC SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	612 S MCDONALD	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -8	Y	Y
SUMMIT VALLEY SCHOOL	2015-16	8	25%	0%	25%	50%	0%	37.5%	0%	12.5%	50%	50%	62.5%	75%	75%	50%	2	0	2	4	0	3	0	1	4	4	3	2	2	4	Y	PUBLIC SCHOOL	SUMMIT VALLEY SCHOOL DISTRICT	2360 ADDY-GIFFORD ROAD	ADDY	STEVENS	EDUCATIONAL SERVICE DISTRICT 101	PK-8	Y	Y
SUMNER MIDDLE SCHOOL	2015-16	236	78.8%	0%	15.3%	5.9%	1.3%	4.7%	0%	0%	80.5%	81.4%	97%	96.2%	97.9%	94.5%	186	0	36	14	3	11	0	0	46	44	7	9	5	13	Y	PUBLIC SCHOOL	SUMNER SCHOOL DISTRICT	1508 WILLOW	SUMNER	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
SUNFIELD WALDORF SCHOOL	2015-16	10	60%	30%	0%	10%	0%	10%	0%	0%	60%	60%	60%	60%	60%	60%	6	3	0	1	0	1	0	0	4	4	4	4	4	4	Y	PRIVATE SCHOOL	CHIMACUM SCHOOL DISTRICT	111 SUNFIELD LN	PORT HADLOCK	JEFFERSON	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-8	Y	Y
SUNNYSIDE CHRISTIAN SCHOOL	2015-16	20	95%	0%	0%	5%	0%	5%	0%	0%	100%	100%	100%	100%	100%	95%	19	0	0	1	0	1	0	0	0	0	0	0	0	1	Y	PRIVATE SCHOOL	SUNNYSIDE SCHOOL DISTRICT	811 NORTH AVE	SUNNYSIDE	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	P-8	Y	Y
SUNNYSLOPE ELEMENTARY SCHOOL	2015-16	68	92.6%	5.9%	0%	1.5%	0%	1.5%	0%	0%	95.6%	98.5%	100%	100%	95.6%	100%	63	4	0	1	0	1	0	0	3	1	0	0	3	0	Y	PUBLIC SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	4183 SUNNYSLOPE RD SW	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
SUNRISE BEACH SCHOOL	2015-16	3	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	GRIFFIN SCHOOL DISTRICT	1601 NORTH STREET	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-12	Y	Y
SUNRISE ELEMENTARY	2015-16	61	91.8%	0%	0%	8.2%	1.6%	6.6%	0%	0%	93.4%	93.4%	95.1%	95.1%	96.7%	95.1%	56	0	0	5	1	4	0	0	4	4	3	3	2	3	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	14075 172 AV NE	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
SUNRISE ELEMENTARY	2015-16	84	90.5%	1.2%	2.4%	6%	1.2%	4.8%	0%	0%	97.6%	95.2%	98.8%	98.8%	95.2%	97.6%	76	1	2	5	1	4	0	0	2	4	1	1	4	2	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	2323 39TH AVE SE	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
SUNRISE ELEMENTARY SCHOOL	2015-16	90	91.1%	0%	5.6%	3.3%	2.2%	1.1%	1.1%	0%	94.4%	94.4%	96.7%	95.6%	95.6%	95.6%	82	0	5	3	2	1	1	0	5	5	3	4	4	4	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	22300 132ND AVE SE	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
SURPRISE LAKE MIDDLE SCHOOL	2015-16	287	96.5%	0%	0%	3.5%	0%	3.5%	0%	0%	96.9%	96.9%	97.2%	97.2%	96.9%	97.6%	277	0	0	10	0	10	0	0	9	9	8	8	9	7	Y	PUBLIC SCHOOL	FIFE SCHOOL DISTRICT	2001 MILTON WAY	MILTON	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-7	N	Y
SWAN SCHOOL	2015-16	8	87.5%	12.5%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	87.5%	87.5%	7	1	0	0	0	0	0	0	0	0	0	0	1	1	Y	PRIVATE SCHOOL	PORT TOWNSEND SCHOOL DISTRICT	2345 KUHN ST	PORT TOWNSEND	JEFFERSON	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-6	Y	Y
TAHOLAH ELEMENTARY & MIDDLE SCHOOL	2015-16	16	75%	0%	25%	0%	0%	0%	0%	0%	75%	75%	100%	100%	100%	100%	12	0	4	0	0	0	0	0	4	4	0	0	0	0	Y	PUBLIC SCHOOL	TAHOLAH SCHOOL DISTRICT	PO BOX 249	TAHOLAH	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	K -8	Y	Y
TAHOMA MIDDLE SCHOOL	2015-16	283	83%	0.7%	12.4%	3.9%	1.1%	2.8%	0.4%	0%	84.8%	85.5%	97.2%	96.8%	96.1%	95.1%	235	2	35	11	3	8	1	0	43	41	8	9	11	14	Y	PUBLIC SCHOOL	TAHOMA SCHOOL DISTRICT	24425 SE 216TH ST	MAPLE VALLEY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-7	N	Y
TECHNOLOGY ACCESS FOUNDATION ACADEMY	2015-16	52	69.2%	0%	30.8%	0%	0%	0%	0%	0%	71.2%	71.2%	100%	100%	98.1%	100%	36	0	16	0	0	0	0	0	15	15	0	0	1	0	Y	PUBLIC SCHOOL	FEDERAL WAY SCHOOL DISTRICT	26630 40TH AVE S	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
TEKOA ELEMENTARY SCHOOL	2015-16	18	66.7%	0%	33.3%	0%	0%	0%	0%	0%	66.7%	100%	100%	100%	100%	100%	12	0	6	0	0	0	0	0	6	0	0	0	0	0	Y	PUBLIC SCHOOL	TEKOA SCHOOL DISTRICT	200 N BROADWAY	TEKOA	WHITMAN	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
TENINO MIDDLE SCHOOL	2015-16	104	60.6%	0%	28.8%	10.6%	0%	9.6%	1%	0%	64.4%	67.3%	90.4%	90.4%	92.3%	91.3%	63	0	30	11	0	10	1	0	37	34	10	10	8	9	Y	PUBLIC SCHOOL	TENINO SCHOOL DISTRICT	PO BOX 4024	TENINO	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	6-8	N	Y
TERRACE PARK ELEMENTARY	2015-16	47	91.5%	0%	8.5%	0%	0%	0%	0%	0%	91.5%	91.5%	100%	100%	100%	100%	43	0	4	0	0	0	0	0	4	4	0	0	0	0	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	5409 228TH ST SW	MOUNTLAKE TERRACE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
